config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,mIoU_mean,mIoU_std,mIoU_n,mIoU_values,pixel_acc_mean,pixel_acc_std,pixel_acc_n,pixel_acc_values
densecl_lambda_0p5,segmentation,,,5,5,1;2;3;4;5,0.37376062870025634,0.001917983694447548,5,0.374863;0.375524;0.371172;0.372271;0.374973,0.8386181831359864,0.0010257336308679655,5,0.839779;0.838894;0.838127;0.837121;0.839169
imagenet,segmentation,,,5,5,1;2;3;4;5,0.5027589857578277,0.002510269248718728,5,0.502942;0.499374;0.502593;0.506445;0.502441,0.8797391891479492,0.0008486365319203214,5,0.880184;0.879735;0.878913;0.880913;0.878950
moco,segmentation,,,5,5,1;2;3;4;5,0.34244269132614136,0.005246635012636365,5,0.339683;0.339442;0.338467;0.343418;0.351203,0.8285051226615906,0.0011073420307482688,5,0.827547;0.828732;0.827184;0.829328;0.829735
random,segmentation,,,5,5,1;2;3;4;5,0.17256781756877898,0.0010471686245034572,5,0.173518;0.171950;0.171674;0.173884;0.171813,0.7592235088348389,0.0008302719729095907,5,0.758723;0.758064;0.760138;0.759751;0.759443
