config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,mIoU_mean,mIoU_std,mIoU_n,mIoU_values,pixel_acc_mean,pixel_acc_std,pixel_acc_n,pixel_acc_values
sparc_lambda_0,segmentation,method.lambda_region,0,5,5,1;2;3;4;5,0.344091659784317,0.0030879407841951597,5,0.346750;0.339322;0.346857;0.344243;0.343285,0.8296156644821167,0.0018176734652217209,5,0.830417;0.827132;0.830940;0.828281;0.831309
sparc_lambda_0p1,segmentation,method.lambda_region,0.1,5,5,1;2;3;4;5,0.36745352745056153,0.002179468932756983,5,0.364863;0.369682;0.365817;0.367302;0.369603,0.8365573763847352,0.00243634663713602,5,0.833471;0.834519;0.837576;0.838064;0.839157
sparc_lambda_0p3,segmentation,method.lambda_region,0.3,5,5,1;2;3;4;5,0.38412299156188967,0.0005700146481074837,5,0.384817;0.383906;0.383574;0.383676;0.384642,0.8425509810447693,0.001377492367348034,5,0.842721;0.843390;0.844138;0.841947;0.840558
sparc_lambda_0p5,segmentation,method.lambda_region,0.5,5,5,1;2;3;4;5,0.388044410943985,0.003853529010234451,5,0.392123;0.391584;0.383997;0.388192;0.384326,0.8433591723442078,0.0015874273520277288,5,0.843866;0.845347;0.841786;0.841680;0.844117
sparc_lambda_0p7,segmentation,method.lambda_region,0.7,5,5,1;2;3;4;5,0.38881237506866456,0.004532422123838201,5,0.393037;0.390686;0.392141;0.382471;0.385727,0.8423004031181336,0.0025049494364078845,5,0.843456;0.843307;0.845315;0.840073;0.839351
sparc_lambda_0p9,segmentation,method.lambda_region,0.9,5,5,1;2;3;4;5,0.3878138601779938,0.0035071579199678397,5,0.387711;0.389577;0.383377;0.392559;0.385844,0.8421052694320679,0.0013140489004246677,5,0.841437;0.842738;0.840224;0.843649;0.842478
sparc_lambda_1,segmentation,method.lambda_region,1,5,5,1;2;3;4;5,0.3832072079181671,0.0028962272633343933,5,0.386442;0.380564;0.385481;0.383621;0.379927,0.8404789090156555,0.001152731913637598,5,0.840179;0.840030;0.842188;0.839093;0.840904
