config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,AP_mean,AP_std,AP_n,AP_values,AP50_mean,AP50_std,AP50_n,AP50_values,AP75_mean,AP75_std,AP75_n,AP75_values
densecl_lambda_0,detection,method.dense_lambda,0,5,5,1;2;3;4;5,0.23656438589096068,0.003239256660811352,5,0.235280;0.241101;0.237265;0.236978;0.232197,0.47111716866493225,0.004767043146964135,5,0.470000;0.475399;0.472479;0.474295;0.463412,0.20785845518112184,0.004429546133466943,5,0.205111;0.213029;0.208798;0.210517;0.201838
densecl_lambda_0p1,detection,method.dense_lambda,0.1,5,5,1;2;3;4;5,0.24041911959648132,0.0015744090136858022,5,0.240967;0.241088;0.242387;0.239165;0.238489,0.4750102460384369,0.004141558985871307,5,0.480772;0.474708;0.476490;0.469414;0.473667,0.2131141483783722,0.0026618652028933907,5,0.210287;0.215329;0.216344;0.212696;0.210915
densecl_lambda_0p3,detection,method.dense_lambda,0.3,5,5,1;2;3;4;5,0.24213059842586518,0.0024329616892546516,5,0.244720;0.243275;0.243579;0.239803;0.239276,0.4767550528049469,0.002399275391464652,5,0.479053;0.477306;0.478939;0.474181;0.474296,0.21613085269927979,0.00457196110743121,5,0.221165;0.220871;0.213087;0.214161;0.211371
densecl_lambda_0p5,detection,method.dense_lambda,0.5,5,5,1;2;3;4;5,0.24028656184673308,0.0017725652139215793,5,0.241423;0.242713;0.238236;0.239393;0.239667,0.4714561879634857,0.0028841020472822674,5,0.474274;0.474426;0.469021;0.468204;0.471356,0.2169494539499283,0.0016226121586026404,5,0.217008;0.218842;0.214777;0.216010;0.218110
densecl_lambda_0p7,detection,method.dense_lambda,0.7,5,5,1;2;3;4;5,0.23515320122241973,0.002238492406815631,5,0.236441;0.237070;0.231630;0.236372;0.234253,0.46178753972053527,0.004105679587187777,5,0.464656;0.464543;0.454903;0.463726;0.461110,0.20790524482727052,0.002913018310095534,5,0.206427;0.212109;0.209048;0.207600;0.204343
densecl_lambda_0p9,detection,method.dense_lambda,0.9,5,5,1;2;3;4;5,0.2173725485801697,0.0019013519357579066,5,0.218396;0.214814;0.216188;0.217793;0.219672,0.43517211079597473,0.0029650488846777374,5,0.437073;0.434003;0.431003;0.435034;0.438748,0.1897526890039444,0.0032178119314931137,5,0.191022;0.184929;0.192004;0.188099;0.192709
densecl_lambda_1,detection,method.dense_lambda,1,5,5,1;2;3;4;5,0.18360782265663148,0.008884533395190446,5,0.187292;0.190071;0.175881;0.192341;0.172454,0.37844857573509216,0.013767382786562792,5,0.384969;0.386991;0.364250;0.392860;0.363172,0.1543971985578537,0.011379944450742788,5,0.160117;0.162688;0.142807;0.165004;0.141369
