config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,AP_mean,AP_std,AP_n,AP_values,AP50_mean,AP50_std,AP50_n,AP50_values,AP75_mean,AP75_std,AP75_n,AP75_values
densecl_lambda_0p5,detection,,,5,5,1;2;3;4;5,0.24028656184673308,0.0017725652139215793,5,0.241423;0.242713;0.238236;0.239393;0.239667,0.4714561879634857,0.0028841020472822674,5,0.474274;0.474426;0.469021;0.468204;0.471356,0.2169494539499283,0.0016226121586026404,5,0.217008;0.218842;0.214777;0.216010;0.218110
imagenet,detection,,,5,5,1;2;3;4;5,0.340414696931839,0.0025557391892953012,5,0.342160;0.341675;0.338604;0.342775;0.336859,0.6262721538543701,0.0026608227663784305,5,0.628220;0.627560;0.623594;0.628781;0.623206,0.32973513007164,0.00427808000748705,5,0.335805;0.332327;0.326621;0.328472;0.325450
moco,detection,,,5,5,1;2;3;4;5,0.2367738366127014,0.0013899665078146086,5,0.237174;0.236424;0.235972;0.238955;0.235344,0.47059846520423887,0.0024131805496513847,5,0.472950;0.469356;0.467904;0.473354;0.469429,0.2078970342874527,0.0029916013613772853,5,0.205569;0.207812;0.206815;0.213043;0.206247
random,detection,,,5,5,1;2;3;4;5,0.15073896646499635,0.0024185720962698193,5,0.152779;0.146643;0.150723;0.152169;0.151382,0.32881537079811096,0.007213687400203708,5,0.339178;0.319354;0.326487;0.331080;0.327977,0.114667347073555,0.0020240845446428757,5,0.114072;0.111776;0.114443;0.117131;0.115914
