config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,AP_mean,AP_std,AP_n,AP_values,AP50_mean,AP50_std,AP50_n,AP50_values,AP75_mean,AP75_std,AP75_n,AP75_values
sparc_lambda_0,detection,method.lambda_region,0,5,5,1;2;3;4;5,0.23658018708229064,0.002609162199335398,5,0.237335;0.237208;0.237608;0.238714;0.232035,0.4701065242290497,0.00279016901482744,5,0.470440;0.469358;0.470331;0.474100;0.466303,0.20999173521995546,0.002671485434865852,5,0.212225;0.209838;0.212538;0.209461;0.205896
sparc_lambda_0p1,detection,method.lambda_region,0.1,5,5,1;2;3;4;5,0.24469992518424988,0.0029296277451908007,5,0.244931;0.247009;0.243367;0.247732;0.240460,0.4801124930381775,0.0035375921670370543,5,0.483004;0.482116;0.474155;0.481545;0.479742,0.22175925970077515,0.006745389336320707,5,0.219364;0.224182;0.222199;0.230748;0.212304
sparc_lambda_0p3,detection,method.lambda_region,0.3,5,5,1;2;3;4;5,0.2510251045227051,0.0020970869044142247,5,0.252380;0.253433;0.250947;0.250440;0.247925,0.48810144066810607,0.0017611818689187357,5,0.489149;0.490562;0.486473;0.487808;0.486515,0.22744250297546387,0.00569278851539825,5,0.232206;0.231660;0.230857;0.221832;0.220658
sparc_lambda_0p5,detection,method.lambda_region,0.5,5,5,1;2;3;4;5,0.2541170477867126,0.0015503186309145892,5,0.254974;0.253387;0.256429;0.252786;0.253008,0.4927751898765564,0.0023779452279298345,5,0.494641;0.492935;0.492105;0.489119;0.495076,0.2314794421195984,0.003000326398100078,5,0.233973;0.230846;0.234739;0.230602;0.227237
sparc_lambda_0p7,detection,method.lambda_region,0.7,5,5,1;2;3;4;5,0.25531447529792783,0.0011004079795158038,5,0.254284;0.255080;0.254751;0.257161;0.255297,0.49343458414077757,0.0028333379536410273,5,0.492548;0.490374;0.496966;0.495810;0.491474,0.23446109592914582,0.0032421472544134342,5,0.233454;0.236415;0.229776;0.238364;0.234297
sparc_lambda_0p9,detection,method.lambda_region,0.9,5,5,1;2;3;4;5,0.25300062298774717,0.0013565259424984815,5,0.253492;0.254849;0.251554;0.253333;0.251775,0.489670592546463,0.002459709006973291,5,0.488866;0.492857;0.490200;0.490322;0.486107,0.2327885538339615,0.003534576484807995,5,0.235170;0.235476;0.226752;0.232979;0.233564
sparc_lambda_1,detection,method.lambda_region,1,5,5,1;2;3;4;5,0.2554815948009491,0.0014704127649631533,5,0.254398;0.255861;0.256616;0.256992;0.253542,0.49392157793045044,0.002518401388771465,5,0.494219;0.494714;0.495660;0.495477;0.489538,0.23493475019931792,0.0016853251299727794,5,0.233165;0.233225;0.236996;0.235806;0.235481
