config_id,task,axis_key,axis_value,seeds_planned,seeds_complete,seeds,mIoU_mean,mIoU_std,mIoU_n,mIoU_values,pixel_acc_mean,pixel_acc_std,pixel_acc_n,pixel_acc_values
densecl_lambda_0,segmentation,method.dense_lambda,0,5,5,1;2;3;4;5,0.3419425427913666,0.003153294901404578,5,0.341880;0.341451;0.346886;0.338096;0.341401,0.8280274987220764,0.00252483365457314,5,0.827934;0.825807;0.831999;0.825892;0.828506
densecl_lambda_0p1,segmentation,method.dense_lambda,0.1,5,5,1;2;3;4;5,0.36492999792099,0.004332169061044237,5,0.369367;0.359969;0.368328;0.360745;0.366241,0.8354546308517456,0.0034039852847297177,5,0.836688;0.830149;0.837051;0.834340;0.839045
densecl_lambda_0p3,segmentation,method.dense_lambda,0.3,5,5,1;2;3;4;5,0.37504141926765444,0.005005199823936983,5,0.380865;0.368891;0.372097;0.379365;0.373991,0.8391860246658325,0.0008320172828362034,5,0.840250;0.838671;0.838663;0.839914;0.838432
densecl_lambda_0p5,segmentation,method.dense_lambda,0.5,5,5,1;2;3;4;5,0.37376062870025634,0.001917983694447548,5,0.374863;0.375524;0.371172;0.372271;0.374973,0.8386181831359864,0.0010257336308679655,5,0.839779;0.838894;0.838127;0.837121;0.839169
densecl_lambda_0p7,segmentation,method.dense_lambda,0.7,5,5,1;2;3;4;5,0.3660732924938202,0.00391715809908751,5,0.372489;0.366909;0.364614;0.362626;0.363728,0.8362927079200745,0.0013557596616237879,5,0.837742;0.836603;0.837286;0.835351;0.834482
densecl_lambda_0p9,segmentation,method.dense_lambda,0.9,5,5,1;2;3;4;5,0.33663061261177063,0.006784055005040315,5,0.345730;0.328893;0.337969;0.331039;0.339522,0.8275953531265259,0.0030620781116893234,5,0.830263;0.828733;0.827516;0.822405;0.829060
densecl_lambda_1,segmentation,method.dense_lambda,1,5,5,1;2;3;4;5,0.27563629746437074,0.014741319596348704,5,0.278203;0.293163;0.258815;0.285557;0.262443,0.8108471393585205,0.006268702843397082,5,0.809672;0.819913;0.806460;0.814006;0.804185
